word_cn,word_en,semantic_hint
# ========== 力学棱镜 (Mechanics) ==========
# X轴: Light/轻 ← → Heavy/重
# Y轴: Dull/钝 ← → Sharp/锐

# ============================================
# 左上象限: 轻钝
# ============================================
柔和,Gentle,soft calm
缓慢,Slow,sluggish
柔软,Soft,pliable
闷,Muffled,dampened
钝,Dull,blunt
绵软,Fluffy,soft weak

# ============================================
# 右上象限: 重钝
# ============================================
沉重,Heavy,weighty
厚实,Thick,dense
沉稳,Calm,steady
稳健,Stable,firm
扎实,Solid,substantial
充实,Full,rich

# ============================================
# 右下象限: 重锐
# ============================================
激烈,Intense,strong
尖锐,Sharp,penetrating
强劲,Powerful,force
强烈,Strong,violent
猛烈,Fierce,furious
剧烈,Violent,extreme

# ============================================
# 左下象限: 轻锐
# ============================================
轻盈,Light,airy
敏捷,Agile,quick
灵巧,Delicate,dexterous
迅速,Fast,swift
清脆,Crisp,clear
明亮,Bright,brilliant

# ============================================
# 中性词汇
# ============================================
力度,Force,strength
冲击,Impact,collision
震动,Vibration,shake
碰撞,Collision,bump
打击,Strike,hit
弹力,Elasticity,bounce
张力,Tension,tight
压力,Pressure,compress
拉力,Tension,pull
推力,Push,thrust
重力,Gravity,weight
惯性,Inertia,momentum
摩擦,Friction,drag
阻尼,Damping,resistance
